Name,Password,Email,Userrole,Premiumpackage,Contactsleft,Userimage,Profileid,Gender,Dob,Hight,Weight,Complexion,Bodytype,Maritalstatus,Noofchildren,Physicalstatus,Mothertongue,Nativeplace,Bloodgroup,Profilecreatedfor,Religion,Caste,Star,Jathakam,Educationcategory,Educationtype,Occupation,Occupationtype,Jobcountry,Jobstate,Jobdistrict,Jobcity,Anualincome,Residenceaddr,Userlocation,Phonenumber,Whatsapp,Prefferedcontact,Prefferedcontactpersonname,Prefferedcontactrelaion,Fathername,Fathereducation,Fatheroccupation,Fatheroccupationdetail,Mothername,Mothereducation,Motheroccupation,Motheroccupationdetail,Noofmarriedbrothers,Noofmarriedsisters,Noofunmarriedbrothers,Noofunmarriedsisters,Familytype,Familyvalue,Financialstatus,Userownerof,Eatinghabbits,Drinkinghabbits,Somkinghabbits,Languegesknow,Hobbies,Intrests,Minage,Maxage,Minheight,Maxheight,Pcomplexion,Pbodytype,Pmaritalstatus,Pphysicalstatus,Pfamilystatus,Preligion,Pcaste,Pstar,Pjaathakam,Peducationcategory,Poccupation,Panualincome,Pcountry,Pstate,Pdistrict,Lookingfor,About
admin,admin123,admin123@admin.com,admin,,,dbDetails.xlsx,admin1,none,none,,,,,,,,,,,,none,none,,,,,,,,,,,,,,0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARON POSHAN JOHN,defpass123,EKM500001@email.com,user,free,0,,EKM500001,male,30 /04-10-1991,5 ft 2 in - 157 cm,45 kg,Fair,Average,UnMarried,0,Normal,Malayalam,Trivandrum,NM,Parents,Christian,Latin Catholic,uthradam,chovadosham,Doctorate,B.Tech,Abroad,Sr. Software Engineer,"Cognizant, Bangalore",Bangalore,"Cognizant, Bangalore",Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565631.0,8078565631.0,SHARON ROSHAN JOHN,parent,L John,B.Tech,Retired Associate Professor,Retired Associate Professor,Mary Magdaline,B.Tech,Homemaker,Homemaker,2,0,0,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,163 cm,165 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,uthradam,chovadosham,B.Tech,Retired Associate Professor,,Algeria,kerala,ERNAKULAM,"simple family,goodlooking girl","She has completed her schooling in Holy Angel's ISC, Trivandrum and her B.Tech from Mar Baselios College of Engineering & Technology,Trivandrum."
MARIYA AUSTIN,defpass123,EKM500002@email.com,user,free,0,,EKM500002,Female,30 /21-02-1992,5 ft - 152 cm,50 kg,Fair,Average,UnMarried,0,Normal,Malayalam,Ernakulam,B+ve,Parents,Christian,Latin Catholic,thiruvonam,shudhajathakam,Masters,BBA,Defence,Working in Non IT Company in Infopark,"Infopark ,Kakkanad",Cochin,"Infopark ,Kakkanad",Cochin,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565632.0,8078565632.0,MARIYA AUSTIN,uncle,Austin,BBA,Own Business,Own Business,Rekha George ( Rcsc),BBA,Housewife,Housewife,1,1,0,0,Joint family,Moderate,Upper Middle Class,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,160 cm,170 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,thiruvonam,shudhajathakam,BBA,Own Business,,Algeria,tamilnadu,Thiruvananthapuram,orthodox familyand lovable ,"Our daughter Maria was born and bought up in Ernakulam city itself .She completed her schooling in CBSE school in Vyttila and completed her BBA degree under MGUniversity in Ernakulam .And was working in Ernakulam for past 5 years in reputed firm in Kochi .Also doing MBA (International Business) with her job and planning to go Abroad and she is trying for that to. Our daughter comes from middle class family . The most important thing in her life is religious believes ,moral values and respect for elders.She is modern thinker but also believe in good values given by our ancestors .She love pets ,cooking new receipes,going on trips with family ,listening to music and watch latest movies .She is well open minded ,fun ,loving and caring girl in our family with her happy moods . Those who are interested in our daughters profile can contact us on any time 8075033009."
TINA ANTONY,defpass123,EKM500003@email.com,user,free,0,,EKM500003,male,31 /19-07-1990,5 ft 6 in - 167 cm,50 kg,Fair,Slim,UnMarried,0,Normal,Malayalam,Alappuzha,A+ve,Parents,Christian,Latin Catholic,chothi,chovadosham,Bachelors,MBA,Government,Auditor,BDO,Bangalore,BDO,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565633.0,8078565633.0,TINA ANTONY,brother,Antony J Purackal,MBA,Retired (Revenue Dept),Retired (Revenue Dept),Maria Antony,MBA,"Retired Govt Employee, Ksrtc","Retired Govt Employee, Ksrtc",0,0,0,0,Nuclear family,Liberal,Upper Middle Class,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,159 cm,165 cm,Fair,Slim,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,chothi,chovadosham,MBA,Retired (Revenue Dept),10 lakhs-12 lakhs Indian Rupee,Algeria,kerala,Kollam,"simple family,goodlooking girl","Tina did Graduation in Commerce from Naipunnya and Post Gradution in Finance and Marketing from Rajagiri School of Management, Kakkanad. She worked at KPMG, Cochin for 5 years as Team lead in Audit and few months in KPMG USA - San francisco office as an Audit Associate. Later she resigned from KPMG and worked as freelancer for few years. She joined BDO Bangalore as Auditor. She has also completed MA in sociology out of interest in subject. Did her schooling from St Marys School and Sree Sankara School, Cherthala."
ANU UNNY,defpass123,EKM500004@email.com,user,free,0,,EKM500004,Female,36 /28-10-1985,5 ft - 152 cm,53 kg,Fair,Average,UnMarried,0,Normal,Malayalam,North paravur,A+ve,Parents,Christian,Latin Catholic,makam,shudhajathakam,Diploma,MA,Homemaker,Assistant Professor,Kerala University,Trivandrum,Kerala University,Trivandrum,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565634.0,8078565634.0,ANU UNNY,sister,Emmanuel Unny,MA,Agriculture,Agriculture,Daisy Mj,MA,Teacher,Teacher,1,1,1,0,Joint family,Moderate,Upper Middle Class,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,makam,shudhajathakam,MA,Agriculture,,Andorra,tamilnadu,Pathanamthitta,orthodox familyand lovable ,Highly educated....asst professor..no dislikes
JYOTHI T ,defpass123,EKM500005@email.com,user,free,0,,EKM500005,male,32 /14-02-1990,5 ft 1 in - 154 cm,Not Mentioned,Fair,Slim,UnMarried,0,Normal,Malayalam,Trivandrum,B+ve,Parents,Christian,Latin Catholic,moolam,chovadosham,Trade School / TTC / ITI,B.COM,Not Working,Accountant,Trivandrum,Trivandrum,Trivandrum,Trivandrum,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565635.0,8078565635.0,JYOTHI T ,parent,Ganesan C,B.COM,Retd Delhi Police(Inspector),Retd Delhi Police(Inspector),Thankamony,B.COM,House Wife,House Wife,0,0,2,2,Nuclear family,Moderate,MiddleClass,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,162 cm,165 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,moolam,chovadosham,B.COM,Retd Delhi Police(Inspector),12 lakhs-15 lakhs Indian Rupee,Angola,kerala,Alappuzha,"simple family,goodlooking girl",-simple and god fearing girl
RIA MARY,defpass123,EKM500006@email.com,user,free,0,,EKM500006,Female,32 /07-05-1989,5 ft - 152 cm,55 kg,Fair,Slim,UnMarried,0,Normal,Malayalam,Angamaly Aluva,B+ve,Parents,Christian,Latin Catholic,uthradam,shudhajathakam,Higher Secondary / Plus Two,B.Tech,Nurse,"Project Engineer, Infopark MNC",Cochin,Cochin,Cochin,Cochin,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565636.0,8078565636.0,RIA MARY,uncle,Aloysius V. F.,B.Tech,Finance Manager,Finance Manager,Treasa Aloysius,B.Tech,House Wife,House Wife,0,0,0,0,Joint family,Liberal,MiddleClass,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,167 cm,170 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,uthradam,shudhajathakam,B.Tech,Finance Manager,,Anguilla,tamilnadu,Kottayam,orthodox familyand lovable ,"Completed B.Tech in Applied Electronics And Instrumentation, from Rajagiri School of Engineering and Technology in the year 2011. Through campus placement got into MNC as project engineer."
SOUMYA GEORGE K,defpass123,EKM500007@email.com,user,free,0,,EKM500007,male,33 /13-09-1988,5 ft 1 in - 154 cm,55 kg,Very Fair,Slim,Divorcee,0,Normal,Malayalam,Ernakulam,O+ve,Parents,Christian,Latin Catholic,thiruvonam,chovadosham,High School,M.Com,Own Business,Guest Management Faculty,Management Institute,Ernakulam,Management Institute,Ernakulam,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565637.0,8078565637.0,SOUMYA GEORGE K,brother,K. A George,M.Com,Retired Cochin Shipyard Employee,Retired Cochin Shipyard Employee,Philomina George,M.Com,Homemaker,Homemaker,1,1,0,0,Nuclear family,Moderate,MiddleClass,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,158 cm,165 cm,Very Fair,Slim,Divorcee,Normal,MiddleClass,Christian,Latin Catholic,thiruvonam,chovadosham,M.Com,Retired Cochin Shipyard Employee,,Antarctica,kerala,Idukki,"simple family,goodlooking girl","Simple, god fearing, loving and caring person with good family values. Her first marriage lasted only for two and half months and got divorced due to unavoidable reasons which can be shared with your family."
PRIMA MAXI,defpass123,EKM500008@email.com,user,free,0,,EKM500008,Female,37 /11-12-1984,5 ft 2 in - 157 cm,60 kg,Fair,Average,Widow/Widower,1,Normal,Malayalam,Thevara,NM,Parents,Christian,Latin Catholic,chothi,shudhajathakam,Doctorate,BE,Partner In Business,Software Professional,Not Mentioned,Kuwait,Not Mentioned,Kuwait,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565631.0,8078565631.0,PRIMA MAXI,sister,Joseph Aloysious (Maxi),BE,Rtd. Asst. Exe. Engineer (Kse Board),Rtd. Asst. Exe. Engineer (Kse Board),Irine Aloysious (Jessy),BE,Home Maker,Home Maker,1,0,1,1,Joint family,Moderate,Upper Middle Class,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,160 cm,170 cm,Fair,Average,Widow/Widower,Normal,Upper Middle Class,Christian,Latin Catholic,chothi,shudhajathakam,BE,Rtd. Asst. Exe. Engineer (Kse Board),Less than 50000 Indian Rupee,Argentina,tamilnadu,Thrissur,orthodox familyand lovable ,-
ASHLEY T. SONNY,defpass123,EKM500009@email.com,user,free,0,,EKM500009,male,32 /15-12-1989,5 ft 1 in - 154 cm,55 kg,Fair,Average,UnMarried,0,Normal,Malayalam,"Vennala, Palarivattom",B+ve,Parents,Christian,Latin Catholic,makam,chovadosham,Masters,B.Tech,Private Company,Hardware Engineer,Qualcomm(CWF),Bangalore,Qualcomm(CWF),Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565632.0,8078565632.0,ASHLEY T. SONNY,parent,Sonny T. Alexander,B.Tech,Ex Nri,Ex Nri,Baby Sonny,B.Tech,House Wife,House Wife,1,1,0,0,Nuclear family,Liberal,Upper Middle Class,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,165 cm,165 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,makam,chovadosham,B.Tech,Ex Nri,20 lakhs-40 lakhs Indian Rupee,Armenia,kerala, Palakkad,"simple family,goodlooking girl","Schooling from Rajagiri Public School, Ernakulam, +2 from Model Technical HSS Kaloor, Ernakulam. B.Tech ECE from Colleege of Engineering, Adoor, M.Tech from Rajagiri School of Engg.&Tech, Now working at Qualcomm(CWF) bangalore."
